Player,Tm,Pos,USG%,3PAr,TOV%,BLK%,TRB%,STL%,FGA,FTA,PTS,PCT_FG_3P,CORNER_PCT_3PA,PCT_AST_2P,PCT_AST_3P,PCT_FG_0-3,DUNK_%FGA,Similarity
Ziaire Williams,MEM,SF,18.0,0.495,15.2,1.0,7.5,1.2,16.6,1.9,17.8,0.495,0.433,0.78,0.88,0.25,0.128,0.6709454129675806
Naji Marshall,NOP,SF,17.8,0.382,13.0,0.7,8.8,1.5,15.4,4.7,18.9,0.382,0.39,0.53,0.985,0.229,0.026,0.6648226746615187
Bryce McGowens,CHO,SG,15.0,0.396,15.3,0.7,6.3,0.9,12.2,4.8,14.9,0.396,0.35,0.648,0.923,0.327,0.059,0.660312738413194
Ayo Dosunmu,CHI,SG,14.9,0.332,14.0,1.2,5.9,1.4,13.2,1.9,16.0,0.332,0.466,0.55,1.0,0.411,0.018,0.6587686500554034
Dennis Smith Jr.,CHO,PG,17.6,0.246,14.1,1.6,6.4,2.6,15.5,3.6,16.2,0.246,0.225,0.42,0.958,0.33,0.053,0.6524670259561276
Jalen Williams,OKC,SG,18.4,0.258,12.3,1.4,7.9,2.1,16.6,4.0,22.0,0.258,0.146,0.416,0.904,0.377,0.106,0.6428007419156915
Edmond Sumner,BRK,SG,22.1,0.323,13.6,1.2,6.0,2.1,17.8,7.2,25.1,0.323,0.529,0.634,0.903,0.316,0.033,0.5954370855802383
Josh Hart,NYK,SF,12.6,0.315,16.4,0.8,13.7,1.8,10.4,3.5,14.8,0.315,0.415,0.444,1.0,0.444,0.019,0.5869433937281792
Blake Wesley,SAS,SG,18.5,0.242,21.7,0.6,6.6,1.8,15.2,3.1,13.0,0.242,0.269,0.306,0.95,0.279,0.065,0.5783148890877101
Jay Scrubb,ORL,SG,15.6,0.286,27.6,0.0,11.3,3.2,11.3,3.2,20.9,0.286,0.5,0.333,0.5,0.429,0.143,0.5780203592054388
Kennedy Chandler,MEM,PG,15.8,0.181,16.9,1.6,7.2,2.0,14.0,2.2,13.2,0.181,0.133,0.424,1.0,0.361,0.048,0.5676354138325396
Amir Coffey,LAC,SF,13.5,0.276,10.8,0.7,4.7,0.5,11.4,4.9,13.5,0.276,0.45,0.6,1.0,0.172,0.041,0.5662146636754892
Stanley Johnson,SAS,SF,15.2,0.328,19.2,1.1,11.1,1.6,12.3,3.9,17.5,0.328,0.35,0.468,0.944,0.262,0.016,0.5446489503585051
Jae'Sean Tate,HOU,SF,18.8,0.201,15.3,1.0,9.6,1.5,16.4,4.9,20.3,0.201,0.348,0.351,0.923,0.306,0.009,0.5293004204342178
Danuel House Jr.,PHI,SF,13.8,0.558,10.4,1.0,6.9,0.9,12.1,3.7,16.5,0.558,0.482,0.75,0.946,0.289,0.071,0.5272813333138785
Jarrett Culver,ATL,SF,17.1,0.279,12.6,1.2,15.2,2.1,15.0,4.5,15.3,0.279,0.25,0.375,1.0,0.395,0.047,0.5266373596537476
De'Andre Hunter,ATL,SF,19.7,0.348,8.2,0.7,7.3,0.8,18.4,4.6,23.1,0.348,0.413,0.588,0.91,0.159,0.044,0.5110061449233593
A.J. Lawson,DAL,SG,21.1,0.568,5.9,0.0,11.3,0.9,20.2,3.7,25.8,0.568,0.56,0.5,1.0,0.318,0.136,0.5109042948889416
Deni Avdija,WAS,SF,16.7,0.401,15.9,1.2,13.4,1.6,14.0,4.0,16.8,0.401,0.241,0.538,0.942,0.278,0.057,0.5089242909447365
Wendell Moore Jr.,MIN,SG,14.9,0.395,15.0,2.8,6.6,2.5,13.4,1.6,13.0,0.395,0.412,0.438,1.0,0.419,0.0,0.5025646953011343
Aaron Nesmith,IND,SF,16.8,0.532,10.3,1.6,8.5,1.4,15.4,3.7,19.3,0.532,0.424,0.701,0.965,0.249,0.042,0.49799038960643127
Dalen Terry,CHI,SG,18.4,0.375,9.0,2.3,9.8,2.5,16.4,4.8,19.3,0.375,0.444,0.32,0.714,0.431,0.042,0.48907056018705625
Jeff Dowtin,TOR,PG,10.9,0.281,7.6,1.1,5.0,1.7,10.9,1.7,11.6,0.281,0.5,0.45,0.8,0.175,0.035,0.4859177536077862
Yuta Watanabe,BRK,SF,13.1,0.582,8.0,1.6,8.5,1.3,12.2,2.5,16.9,0.582,0.533,0.722,1.0,0.224,0.06,0.4810522546819837
Jaden Springer,PHI,SG,20.8,0.143,7.2,3.1,9.3,3.9,19.5,4.5,23.4,0.143,0.4,0.333,0.5,0.343,0.086,0.48065160362245396
Quenton Jackson,WAS,PG,17.9,0.286,7.2,0.6,3.3,1.4,15.2,7.9,20.2,0.286,0.167,0.5,1.0,0.381,0.095,0.4741367060615913
Dyson Daniels,NOP,PG,11.6,0.413,20.2,1.0,10.2,2.0,9.7,1.9,10.6,0.413,0.302,0.55,0.889,0.308,0.034,0.47332966538423793
Saben Lee,PHX,PG,19.5,0.248,14.1,0.2,6.7,2.5,15.9,7.5,19.8,0.248,0.3,0.263,0.818,0.43,0.05,0.46052975555030773
John Konchar,MEM,SF,10.4,0.553,9.9,1.5,11.0,2.4,10.2,1.1,11.6,0.553,0.525,0.769,0.95,0.294,0.028,0.45098592317186237
Alex Caruso,CHI,PG,11.1,0.528,19.5,2.8,7.1,3.0,8.8,2.3,11.6,0.528,0.49,0.533,0.945,0.29,0.028,0.44784765256867365
Jared Rhoden,DET,SG,10.7,0.455,6.0,0.4,10.4,1.0,10.8,1.5,11.0,0.455,0.4,0.583,1.0,0.205,0.045,0.4459331133784648
Moses Moody,GSW,SG,14.6,0.595,12.0,0.8,7.1,1.0,13.1,3.1,17.5,0.595,0.348,0.695,0.98,0.225,0.101,0.43149271081694385
Cam Reddish,POR,SF,17.1,0.462,12.0,1.3,5.0,1.9,15.4,3.7,19.2,0.462,0.34,0.723,0.867,0.272,0.038,0.4289659790758982
Furkan Korkmaz,PHI,SG,19.1,0.414,15.9,0.8,7.0,1.4,15.6,5.1,19.6,0.414,0.326,0.567,0.889,0.198,0.027,0.42732004184099365
Shaquille Harrison,POR,SG,17.6,0.278,12.3,1.5,10.5,4.5,14.6,6.1,17.9,0.278,0.1,0.5,1.0,0.444,0.028,0.3977767869104595
Shake Milton,PHI,SG,18.5,0.294,14.5,0.8,7.2,0.8,15.9,3.7,20.1,0.294,0.257,0.416,0.911,0.3,0.008,0.36339098372262313
Dalano Banton,TOR,PG,24.2,0.392,11.4,4.5,9.1,2.3,23.0,4.3,25.2,0.392,0.235,0.575,0.867,0.277,0.062,0.36114204745831524
Kessler Edwards,SAC,SF,12.7,0.591,11.5,1.4,9.0,1.7,11.6,1.9,12.5,0.591,0.382,0.632,1.0,0.204,0.054,0.3503986572996046
Jordan Nwora,IND,SF,19.4,0.474,12.0,1.0,10.4,1.0,17.8,3.4,21.7,0.474,0.284,0.565,0.93,0.231,0.04,0.345067627821008
Gordon Hayward,CHO,SF,20.0,0.275,13.2,0.7,7.3,1.3,17.5,4.8,22.1,0.275,0.231,0.554,0.904,0.16,0.028,0.33237767532638346
Tre Jones,SAS,PG,19.3,0.213,11.8,0.4,6.7,2.1,17.7,4.1,20.8,0.213,0.323,0.26,0.867,0.276,0.004,0.32122282505466637
Josh Christopher,HOU,SG,21.9,0.271,14.4,1.9,5.0,2.0,20.3,3.7,22.9,0.271,0.191,0.348,0.762,0.222,0.082,0.3168750134432188
Malcolm Hill,CHI,SF,19.7,0.75,0.0,0.0,18.9,0.0,21.6,0.0,27.1,0.75,0.333,1.0,1.0,0.25,0.25,0.31520538617965455
T.J. McConnell,IND,PG,19.1,0.113,20.6,0.6,8.5,2.5,16.2,2.1,20.2,0.113,0.288,0.237,0.692,0.322,0.0,0.3145089559220592
Trey Murphy III,NOP,SF,16.6,0.621,6.5,1.7,6.5,1.8,15.8,3.8,22.7,0.621,0.268,0.67,0.96,0.203,0.124,0.29025605496435586
MarJon Beauchamp,MIL,SF,18.3,0.584,14.8,0.8,8.5,1.4,16.6,2.5,18.1,0.584,0.387,0.551,0.872,0.21,0.058,0.2658641815209573
Kentavious Caldwell-Pope,DEN,SG,14.1,0.505,11.1,1.3,5.0,2.3,13.0,2.6,16.9,0.505,0.417,0.847,0.926,0.139,0.025,0.2580132406155296
Xavier Sneed,CHO,SF,12.9,0.6,20.3,1.8,5.6,0.0,9.9,4.0,16.9,0.6,0.167,1.0,1.0,0.2,0.1,0.23734960597555066
Ish Smith,DEN,PG,19.3,0.092,24.9,1.6,7.8,1.0,16.1,0.5,13.3,0.092,0.167,0.26,1.0,0.115,0.0,0.23564164940428595
McKinley Wright IV,DAL,PG,16.9,0.286,15.2,1.3,8.2,1.2,14.5,2.8,16.9,0.286,0.25,0.297,0.889,0.224,0.0,0.23300305600230703
Dru Smith,BKN,SG,13.8,0.422,6.1,2.5,8.7,3.1,14.0,0.9,13.7,0.422,0.368,0.308,1.0,0.178,0.0,0.2232880631466478
Jordan Goodwin,WAS,PG,17.3,0.334,12.9,2.0,10.3,2.6,15.5,3.0,17.9,0.334,0.212,0.242,0.868,0.187,0.025,0.20041000215512902
Luguentz Dort,OKC,SF,19.8,0.468,8.5,0.9,8.1,1.6,18.3,5.4,21.2,0.468,0.232,0.51,0.889,0.301,0.04,0.19834930428141698
Ochai Agbaji,UTA,SG,15.8,0.591,9.0,1.0,5.4,0.6,15.3,2.7,18.5,0.591,0.412,0.762,0.988,0.15,0.054,0.197438145020923
Austin Rivers,MIN,SG,10.5,0.589,9.2,0.3,4.6,1.3,9.8,1.8,11.9,0.589,0.659,0.354,0.907,0.201,0.019,0.1952710077396427
Raul Neto,CLE,PG,13.2,0.382,16.1,0.7,5.4,1.7,10.9,3.4,15.6,0.382,0.19,0.444,0.917,0.345,0.0,0.19347198125536416
Andrew Wiggins,GSW,SF,21.5,0.425,7.9,2.1,8.6,1.8,21.0,2.9,25.1,0.425,0.2,0.621,0.955,0.157,0.055,0.18726742235595317
Justin Champagnie,BOS,SF,19.2,0.333,0.0,0.0,13.1,1.4,21.6,0.0,15.8,0.333,0.4,0.5,1.0,0.133,0.0,0.18558758064606137
Max Christie,LAL,SG,10.4,0.585,10.3,1.2,7.8,0.8,9.8,1.5,11.8,0.585,0.435,0.556,0.962,0.113,0.038,0.18147316646211656
Kelly Oubre Jr.,CHO,SF,26.5,0.414,6.6,1.0,8.6,2.1,25.2,6.4,29.9,0.414,0.295,0.539,0.917,0.252,0.067,0.17991086086865202
Trevelin Queen,IND,SG,22.9,0.517,18.3,6.1,13.5,1.4,19.7,3.4,14.2,0.517,0.133,0.6,1.0,0.31,0.034,0.16310448540704145
